,Symbol,Name,Price,Change,% Change,Market Cap,Total Volume,Circulating Supply
132,XCH-USD,Chia USD,27.48,-0.15,-0.54%,233.701M,2.421M,2.421M
133,QTUM-USD,Qtum USD,2.2296,+0.0026,+0.12%,233.564M,22.381M,22.381M
134,XEM-USD,NEM USD,0.025948,-0.000090,-0.35%,233.533M,2.579M,2.579M
135,ENJ-USD,Enjin Coin USD,0.232696,+0.000397,+0.17%,232.696M,29.986M,29.986M
136,ENS-USD,Ethereum Name Service USD,7.6874,+0.0256,+0.33%,228.301M,5.93M,5.93M
137,AGIX-USD,SingularityNET USD,0.184511,+0.001901,+1.04%,227.444M,16.841M,16.841M
138,SEI-USD,Sei USD,0.124873,-0.000153,-0.12%,224.771M,46.584M,46.584M
139,MX-USD,MX TOKEN USD,2.2223,+0.0924,+4.34%,223.805M,7.592M,7.592M
140,BTG-USD,Bitcoin Gold USD,12.68,-0.44,-3.39%,222.119M,4.652M,4.652M
141,CVX-USD,Convex Finance USD,2.6668,-0.0001,-0.00%,214.748M,4.576M,4.576M
142,AZERO-USD,Aleph Zero USD,0.804236,+0.059638,+8.01%,214.553M,1.885M,1.885M
143,MASK8536-USD,Mask Network USD,2.6092,-0.0191,-0.72%,214.25M,47.427M,47.427M
144,WEMIX-USD,WEMIX USD,0.672299,+0.047261,+7.56%,213.39M,8.07M,8.07M
145,TFUEL-USD,Theta Fuel USD,0.033720,-0.001009,-2.91%,211.87M,11.413M,11.413M
146,HNT-USD,Helium USD,1.4702,+0.0287,+1.99%,211.609M,1.228M,1.228M
147,DCR-USD,Decred USD,13.62,+0.11,+0.80%,211.059M,"606,244","606,244"
148,EDGT-USD,Edgecoin USD,1.0004,-0.0001,-0.01%,210.079M,"177,566","177,566"
149,RVN-USD,Ravencoin USD,0.015280,+0.000042,+0.28%,198.443M,5.508M,5.508M
150,JST-USD,JUST USD,0.022268,+0.000062,+0.28%,198.229M,25.997M,25.997M
151,OCEAN-USD,Ocean Protocol USD,0.318553,-0.003447,-1.07%,195.305M,14.854M,14.854M
152,UIP-USD,UnlimitedIP USD,0.115744,+0.005415,+4.91%,194.448M,"169,094","169,094"
153,DORA27966-USD,Dora Factory (new) USD,0.019840,-0.001738,-8.05%,190.142M,"377,536","377,536"
154,FET-USD,Fetch.ai USD,0.233242,+0.001249,+0.54%,189.616M,19.712M,19.712M
155,AKT-USD,Akash Network USD,0.865113,-0.021259,-2.40%,189.114M,"978,404","978,404"
156,ANKR-USD,Ankr USD,0.018850,-0.000131,-0.69%,188.5M,8.656M,8.656M
157,BDX-USD,Beldex USD,0.033668,-0.000037,-0.11%,187.976M,4.442M,4.442M
158,BONE11865-USD,Bone ShibaSwap USD,0.814614,+0.000510,+0.06%,187.299M,5.367M,5.367M
159,GMT18069-USD,STEPN USD,0.156324,-0.001133,-0.72%,185.867M,10.611M,10.611M
160,HOT2682-USD,Holo USD,0.001049,+0.000000,+0.03%,180.378M,6.502M,6.502M
161,YFI-USD,yearn.finance USD,"5,450.15",-109.89,-1.98%,180.201M,17.863M,17.863M
162,ANT-USD,Aragon USD,4.3932,+0.0647,+1.49%,175.861M,9.469M,9.469M
163,WAVES-USD,Waves USD,1.5618,+0.0005,+0.03%,175.748M,20.962M,20.962M
164,WLD-USD,Worldcoin USD,1.3552,-0.0067,-0.49%,176.615M,166.392M,166.392M
165,GLM-USD,Golem USD,0.174133,-0.001218,-0.69%,174.133M,3.597M,3.597M
166,JASMY-USD,JasmyCoin USD,0.003544,-0.000013,-0.37%,173.311M,14.108M,14.108M
167,BAL-USD,Balancer USD,3.3097,-0.0689,-2.04%,172.665M,4.216M,4.216M
168,AUDIO-USD,Audius USD,0.155276,+0.001049,+0.68%,172.869M,4.085M,4.085M
169,LPT-USD,Livepeer USD,5.8818,-0.0024,-0.04%,170.93M,28.854M,28.854M
170,SSV-USD,ssv.network USD,16.94,-0.13,-0.77%,169.435M,9.061M,9.061M
171,T-USD,Threshold USD,0.018750,+0.001136,+6.45%,168.929M,17.244M,17.244M
172,OSMO-USD,Osmosis USD,0.338611,-0.001350,-0.40%,166.797M,2.912M,2.912M
173,ICX-USD,ICON USD,0.171475,-0.001468,-0.85%,165.83M,2.017M,2.017M
174,STORJ-USD,Storj USD,0.418099,+0.057187,+15.84%,164.756M,127.056M,127.056M
175,WBETH-USD,Wrapped Beacon ETH USD,"1,670.35",-23.80,-1.40%,164.783M,"491,355","491,355"
176,BLUR-USD,Blur USD,0.175044,-0.001456,-0.82%,163.542M,9.528M,9.528M
177,KSM-USD,Kusama USD,19.26,-0.14,-0.73%,163.146M,6.154M,6.154M
178,SC-USD,Siacoin USD,0.002909,+0.000036,+1.26%,160.419M,1.999M,1.999M
179,SXP-USD,Solar USD,0.273431,+0.000319,+0.12%,158.086M,11.643M,11.643M
180,LYX-USD,LUKSO USD,5.4390,-0.1434,-2.57%,157.767M,"125,266","125,266"
181,BABYDOGE-USD,Baby Doge Coin USD,0.00000000,+0.00000000,+1.66%,157.443M,1.613M,1.613M
182,ZRX-USD,0x Protocol USD,0.182790,-0.003370,-1.81%,154.914M,8.455M,8.455M
183,FLOKI-USD,FLOKI USD,0.000016,-0.000000,-0.52%,150.556M,6.169M,6.169M
184,FNSA-USD,FINSCHIA USD,20.96,-0.23,-1.10%,150.348M,"193,652","193,652"
185,ONT-USD,Ontology USD,0.170674,+0.002448,+1.46%,149.383M,8.146M,8.146M
186,LUNA20314-USD,Terra USD,0.391207,-0.006920,-1.74%,148.195M,19.176M,19.176M
